"engine","province","sex","year","age","population_count","population_count_pohem","all_count","relative_difference"
"CANSIM","P.E.I.","Male",2001,"[75,80[",1583,1583,0,0
"CANSIM","P.E.I.","Male",2001,"[80,85[",962,962,0,0
"CANSIM","P.E.I.","Male",2001,"[85,90[",492,492,0,0
"CANSIM","P.E.I.","Male",2001,"[90,95[",189,189,0,0
"CANSIM","P.E.I.","Male",2001,"[95,100[",39,39,0,0
"CANSIM","P.E.I.","Male",2001,"[100,max[",3,3,0,0
"CANSIM","P.E.I.","Female",2001,"All",69956,69956,1,0
"CANSIM","P.E.I.","Female",2001,"[0,5[",3686,3686,0,0
"CANSIM","P.E.I.","Female",2001,"[5,10[",4401,4401,0,0
"CANSIM","P.E.I.","Female",2001,"[10,15[",4968,4968,0,0
"CANSIM","P.E.I.","Female",2001,"[15,20[",5070,5070,0,0
"CANSIM","P.E.I.","Female",2001,"[20,25[",4527,4527,0,0
"CANSIM","P.E.I.","Female",2001,"[25,30[",4143,4143,0,0
"CANSIM","P.E.I.","Female",2001,"[30,35[",4458,4458,0,0
"CANSIM","P.E.I.","Female",2001,"[35,40[",5428,5428,0,0
"CANSIM","P.E.I.","Female",2001,"[40,45[",5602,5602,0,0
"CANSIM","P.E.I.","Female",2001,"[45,50[",5192,5192,0,0
"CANSIM","P.E.I.","Female",2001,"[50,55[",5074,5074,0,0
"CANSIM","P.E.I.","Female",2001,"[55,60[",3665,3665,0,0
"CANSIM","P.E.I.","Female",2001,"[60,65[",3012,3012,0,0
"CANSIM","P.E.I.","Female",2001,"[65,70[",2775,2775,0,0
"CANSIM","P.E.I.","Female",2001,"[70,75[",2364,2364,0,0
"CANSIM","P.E.I.","Female",2001,"[75,80[",2152,2152,0,0
"CANSIM","P.E.I.","Female",2001,"[80,85[",1727,1727,0,0
"CANSIM","P.E.I.","Female",2001,"[85,90[",1111,1111,0,0
"CANSIM","P.E.I.","Female",2001,"[90,95[",454,454,0,0
"CANSIM","P.E.I.","Female",2001,"[95,100[",118,118,0,0
"CANSIM","P.E.I.","Female",2001,"[100,max[",29,29,0,0
"CANSIM","Nova Scotia","All",2001,"All",932494,932494,2,0
"CANSIM","Nova Scotia","All",2001,"[0,5[",48392,48392,1,0
"CANSIM","Nova Scotia","All",2001,"[5,10[",56298,56298,1,0
"CANSIM","Nova Scotia","All",2001,"[10,15[",62009,62009,1,0
"CANSIM","Nova Scotia","All",2001,"[15,20[",62803,62803,1,0
"CANSIM","Nova Scotia","All",2001,"[20,25[",60560,60560,1,0
"CANSIM","Nova Scotia","All",2001,"[25,30[",59380,59380,1,0
"CANSIM","Nova Scotia","All",2001,"[30,35[",63944,63944,1,0
"CANSIM","Nova Scotia","All",2001,"[35,40[",78069,78069,1,0
"CANSIM","Nova Scotia","All",2001,"[40,45[",78834,78834,1,0
"CANSIM","Nova Scotia","All",2001,"[45,50[",72400,72400,1,0
"CANSIM","Nova Scotia","All",2001,"[50,55[",68107,68107,1,0
"CANSIM","Nova Scotia","All",2001,"[55,60[",52454,52454,1,0
"CANSIM","Nova Scotia","All",2001,"[60,65[",41748,41748,1,0
"CANSIM","Nova Scotia","All",2001,"[65,70[",36253,36253,1,0
"CANSIM","Nova Scotia","All",2001,"[70,75[",31006,31006,1,0
"CANSIM","Nova Scotia","All",2001,"[75,80[",25768,25768,1,0
"CANSIM","Nova Scotia","All",2001,"[80,85[",18902,18902,1,0
"CANSIM","Nova Scotia","All",2001,"[85,90[",10519,10519,1,0
"CANSIM","Nova Scotia","All",2001,"[90,95[",3944,3944,1,0
"CANSIM","Nova Scotia","All",2001,"[95,100[",949,949,1,0
"CANSIM","Nova Scotia","All",2001,"[100,max[",155,155,1,0
"CANSIM","Nova Scotia","Male",2001,"All",456354,456354,1,0
"CANSIM","Nova Scotia","Male",2001,"[0,5[",24834,24834,0,0
"CANSIM","Nova Scotia","Male",2001,"[5,10[",28648,28648,0,0
"CANSIM","Nova Scotia","Male",2001,"[10,15[",31599,31599,0,0
"CANSIM","Nova Scotia","Male",2001,"[15,20[",32178,32178,0,0
"CANSIM","Nova Scotia","Male",2001,"[20,25[",30042,30042,0,0
"CANSIM","Nova Scotia","Male",2001,"[25,30[",29214,29214,0,0
"CANSIM","Nova Scotia","Male",2001,"[30,35[",31922,31922,0,0
"CANSIM","Nova Scotia","Male",2001,"[35,40[",39042,39042,0,0
"CANSIM","Nova Scotia","Male",2001,"[40,45[",39044,39044,0,0
"CANSIM","Nova Scotia","Male",2001,"[45,50[",35575,35575,0,0
"CANSIM","Nova Scotia","Male",2001,"[50,55[",33815,33815,0,0
"CANSIM","Nova Scotia","Male",2001,"[55,60[",26033,26033,0,0
"CANSIM","Nova Scotia","Male",2001,"[60,65[",20497,20497,0,0
"CANSIM","Nova Scotia","Male",2001,"[65,70[",17587,17587,0,0
"CANSIM","Nova Scotia","Male",2001,"[70,75[",14067,14067,0,0
